Name Organization ,
Jeremy Sterling ,Secwépemc Fisheries Commission 
Lauren Steele ,Secwépemc Fisheries Commission 
Shayne Kuchma ,Secwépemc Fisheries Commission 
Robyn Laubman ,Splatsin te Secwépemc 
Kyle Krahn ,Yucwmenlúcwu  
Shanon Basil ,Yucwmenlúcwu  
Dimitri Basil ,Yucwmenlúcwu  
Fawn Pierro-Zabotel ,Bonaparte First Nation 
Betty Rebellato ,Canadian Wildlife Federation 
Nicolas Lapointe ,Canadian Wildlife Federation 
Nick Mazany-Wright ,Canadian Wildlife Federation 
Sarah Sra ,Canadian Wildlife Federation 
Olga Koppel ,Canadian Wildlife Federation 
Laura Bernardi ,Canadian Wildlife Federation 
Tony Rathbone ,Fisheries and Oceans Canada 
Colin McGregor ,Fisheries and Oceans Canada 
Sarah Ostoforoff ,Fisheries and Oceans Canada 
