Barrier ID,Internal Name,Structure Status,CWF Model Rank,Average Habitat Upstream of Structure (km),Actual Habitat Upstream of Structure (km)
3571,Trib to Eagle R @ Hwy 1 (ER-002),Data-deficient barrier,1,1.87,1.87
1018303506,Victor Creek @ CP Rail,Unassessed structure,2,3.57,3.57
199404,Trib to Eagle R @ Oxbow Frontage Rd (ER-003),Data-deficient barrier,3,5,5
1018300154,Trib to Eagle R @ Hwy 1 (ER-004),Data-deficient barrier,4,6.26,6.26
3970,Tributary to South Pass Creek @ Three Valley-Mabel FSR (ER-013),Data-deficient barrier,5,6.99,6.99
1200000019,Owlhead Creek @Unnamed (DS ER-009),Priority barrier,6,7.465,7.04
198905,Owlhead C @ Hwy 1 (ER-009),Data-deficient barrier,6,7.94,7.94
1018303443,Trib to Eagle R @ CP Rail (ER-018),Unassessed structure,7,8.34,8.34
3610,Trib to Eagle R @ Malakwa Beach Rd (ER-010),Priority barrier,8,8.72,8.72
199411,Trib to Eagle R @ Hwy 1 (ER-019),Data-deficient barrier,9,8.95,8.95
199412,Trib to Eagle River @ CP Rail (ER-020),Data-deficient barrier,10,9.15,9.15
1018303441,Trib to Eagle River @ CP Rail (ER-017),Data-deficient barrier,11,9.29,9.29
1018303509,Trib to Eagle R @ CP Rail (ER-023),Data-deficient barrier,12,9.36,9.36
