Barrier ID,Site Name,Watershed Name ,Structure Type,Reason for Exclusion ,Reason Details,Supporting Links
199647,BC-007,USHU,Stream crossing - OBS,Passable,Bridge. Passable for now. ,https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=201012
204380,,BONP,Stream crossing - CBS,No key upstream habitat,"No defined channel, seasonal flows",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=205915
199123,BR-000,BONP,Stream crossing - OBS,Passable,Passable,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200443
199408,ER-011,SHUL,Stream crossing - CBS,Passable,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200753
199414,ER-024,SHUL,Stream crossing - CBS,No key upstream habitat,Limited habitat values and short habitat gain. ,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200759
199415,ER-025,SHUL,Stream crossing - OBS,Passable,Passable,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200760
199416,ER-026,SHUL,Stream crossing - CBS,No key upstream habitat,Walk stream from crossing downstream to see where the water goes,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200761
204203,Blue Springs Creek @ Gibson Road (BC-014),USHU,Stream crossing - CBS,No key upstream habitat,Not a high priority for Splatsin. In a forested area but remainder of stream heavily impacted by agriculture.,
199405,ER-005,SHUL,Stream crossing - CBS,No key upstream habitat,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200750
75e563a7-0ec8-47e3-bd20-13c96d0e9eda,Duteau Creek dam (BC-004),USHU,Dam,Passable,Seasonal dam,
204207,BC-028,USHU,Stream crossing - OBS,Passable,,
199128,BR-008,BONP,Stream crossing - OBS,Passable,Passable,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200447
199406,ER-006,SHUL,Stream crossing - CBS,Passable,No water present. Could not tell where stream would be downstream to get channel width measurement.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200751
199125,BR-004,BONP,Stream crossing - OBS,Passable,Reassess in ~5 years to ensure it has not collapsed,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200445
