Barrier ID,Internal Name,Structure Status,CWF Model Rank,Average Habitat Upstream of Structure (km),Actual Habitat Upstream of Structure (km)
199131,Scottie Creek @ Highway 97 (BR-012),Data-deficient barrier,1,8.79,8.79
1001400300,Loon Cr @ Loon Lk Rd (1400300),Unassessed structure,2,11.46,11.46
199148,Colley Creek @ Blue FSR (BR-027),Priority barrier,3,13.68,13.68
1001401966,Anderson Creek @ unnamed rd (BR-026),Unassessed structure,4,15.03,13.7
1001402118,Anderson Creek @ unnamed rd (1402118),Unassessed structure,4,16.38,16.38
1200000020,Cache Cr @ private,Unassessed structure,5,17.95,17.95
1001402534,Scottie Creek @ Unnamed Rd (1402534),Unassessed structure,6,21.88333333,20.52
1001404187,Scottie Creek @ Unnamed rd (1404187),Unassessed structure,6,25.81666667,24.57
1001401360,Scottie Creek @ Unnamed Rd (1401360),Unassessed structure,6,29.75,29.75
1001402000,McDonald Creek @ Unnamed Rd (1402000),Unassessed structure,7,31.23,31.23
199130,Clinton Creek @ Mound Rd (BR-010),Data-deficient barrier,8,32.31,32.31
1001402763,Loon Creek @ unnamed rd (1402763),Unassessed structure,9,33.64833333,32.78
1001400693,Loon Creek @ Unnamed Rd (1400693),Unassessed structure,9,34.98666667,32.86
1001403774,Loon Creek @ Unnamed Rd (1403774),Unassessed structure,9,36.325,34.93
1001402542,Loon Creek @ Unnamed Rd (1402542),Unassessed structure,9,37.66333333,35.75
1001402529,Loon Creek @ unnamed rd (1402529),Unassessed structure,9,39.00166667,35.95
1001402544,Loon Creek @ unnamed rd (1402544),Unassessed structure,9,40.34,40.34
199132,Hat Creek @ Blue Rd (BR-014),Priority barrier,10,41.62,41.62
199143,Trib to Hat Cr @ Blue FSR spur rd (BR-017),Priority barrier,11,42.83,42.83
1001401960,Medicine Creek @ Hat Creek Rd (1401960),Unassessed structure,12,43.5,42.97
1001400392,Medicine Creek @ Hat Creek Rd (1400392),Unassessed structure,12,44.17,44.17
1001400512,Two Spring Creek @ Hwy 99 (1400512),Unassessed structure,13,45.08,45.08
1001401043,Chasm Creek @ unnamed rd (BR-011),Unassessed structure,14,45.86,45.86
1001404122,Trib to Scottie Creek @ Unnamed rd (1404122),Unassessed structure,15,46.94,45.95
1001401278,Trib to Scottie Creek @ Unnamed rd (1401278),Unassessed structure,15,48.02,48.02
1001402072,Trib to Hat Cr @ unnamed rd,Unassessed structure,16,48.34666667,48.02
1001402049,Trib to Hat Cr @ unnamed rd (1402049),Unassessed structure,16,48.67333333,48.02
199624,Orehan Jack Creek @ Hat Creek Road (BR-019),Data-deficient barrier,16,49,49
1001402683,Loon Creek @ unnamed rd (1402683),Unassessed structure,17,49.67,49.67
1200000021,Fiftyseven Creek @ Private (BR-022),Unassessed structure,18,49.885,49.8
1001402548,Fiftyseven Creek @ Private (1402548),Unassessed structure,18,50.1,50.1
199126,Maiden Creek @ Loon Lake Rd (BR-005),Data-deficient barrier,19,50.41,50.41
204379,Clinton Cr @ Mound Rd (204379),Data-deficient barrier,20,50.88,50.88
1001400207,Trib to Bonaparte R @ private (1400207),Unassessed structure,21,50.91,50.91
1001400729,Trib to Bonaparte R @ Jackson Rd (1400729),Unassessed structure,22,50.93,50.93
1001405118,Colley Cr @ R13506 Rd (1405118),Unassessed structure,23,51.36,51.36
1001402340,Trib to Bonaparte R @ private (1402340),Unassessed structure,24,51.37,51.37
